,bus,carrier,p_nom,year_removed
DE0 2 oil,DE0 2,oil,282.18,2040
DE0 9 oil,DE0 9,oil,281.43,2040
DE0 A oil,DE0 A,oil,280.86,2040
DE0 E oil,DE0 E,oil,278.09,2040
DE0 2 oil,DE0 2,oil,564.36,2039
DE0 9 oil,DE0 9,oil,281.43,2039
DE0 A oil,DE0 A,oil,561.72,2039
DE0 E oil,DE0 E,oil,278.09,2039
DE0 2 oil,DE0 2,oil,564.36,2038
DE0 9 oil,DE0 9,oil,281.43,2038
DE0 A oil,DE0 A,oil,842.58,2038
DE0 E oil,DE0 E,oil,278.09,2038
DE0 2 oil,DE0 2,oil,564.36,2037
DE0 9 oil,DE0 9,oil,562.86,2037
DE0 A oil,DE0 A,oil,842.58,2037
DE0 E oil,DE0 E,oil,278.09,2037
DE0 2 oil,DE0 2,oil,564.36,2036
DE0 9 oil,DE0 9,oil,281.43,2036
DE0 A oil,DE0 A,oil,561.72,2036
DE0 E oil,DE0 E,oil,556.18,2036
DE0 2 oil,DE0 2,oil,846.54,2035
DE0 9 oil,DE0 9,oil,281.43,2035
DE0 A oil,DE0 A,oil,842.58,2035
DE0 E oil,DE0 E,oil,278.09,2035
DE0 2 oil,DE0 2,oil,564.36,2034
DE0 9 oil,DE0 9,oil,562.86,2034
DE0 A oil,DE0 A,oil,842.58,2034
DE0 E oil,DE0 E,oil,278.09,2034
DE0 2 oil,DE0 2,oil,564.36,2033
DE0 9 oil,DE0 9,oil,281.43,2033
DE0 A oil,DE0 A,oil,561.72,2033
DE0 E oil,DE0 E,oil,556.18,2033
DE0 2 oil,DE0 2,oil,564.36,2032
DE0 9 oil,DE0 9,oil,281.43,2032
DE0 A oil,DE0 A,oil,842.58,2032
DE0 E oil,DE0 E,oil,278.09,2032
DE0 2 oil,DE0 2,oil,564.36,2031
DE0 9 oil,DE0 9,oil,562.86,2031
DE0 A oil,DE0 A,oil,842.58,2031
DE0 E oil,DE0 E,oil,278.09,2031
DE0 2 oil,DE0 2,oil,846.54,2030
DE0 9 oil,DE0 9,oil,281.43,2030
DE0 A oil,DE0 A,oil,561.72,2030
DE0 E oil,DE0 E,oil,556.18,2030
DE0 2 oil,DE0 2,oil,564.36,2029
DE0 9 oil,DE0 9,oil,562.86,2029
DE0 A oil,DE0 A,oil,842.58,2029
DE0 E oil,DE0 E,oil,278.09,2029
DE0 2 oil,DE0 2,oil,564.36,2028
DE0 9 oil,DE0 9,oil,281.43,2028
DE0 A oil,DE0 A,oil,842.58,2028
DE0 E oil,DE0 E,oil,278.09,2028
DE0 2 oil,DE0 2,oil,564.36,2027
DE0 9 oil,DE0 9,oil,281.43,2027
DE0 A oil,DE0 A,oil,561.72,2027
DE0 E oil,DE0 E,oil,556.18,2027
DE0 2 oil,DE0 2,oil,564.36,2026
DE0 9 oil,DE0 9,oil,562.86,2026
DE0 A oil,DE0 A,oil,842.58,2026
DE0 E oil,DE0 E,oil,278.09,2026
DE0 2 oil,DE0 2,oil,846.54,2025
DE0 9 oil,DE0 9,oil,281.43,2025
DE0 A oil,DE0 A,oil,842.58,2025
DE0 E oil,DE0 E,oil,278.09,2025
DE0 2 oil,DE0 2,oil,564.36,2024
DE0 9 oil,DE0 9,oil,281.43,2024
DE0 A oil,DE0 A,oil,561.72,2024
DE0 E oil,DE0 E,oil,556.18,2024
DE0 2 oil,DE0 2,oil,564.36,2023
DE0 9 oil,DE0 9,oil,562.86,2023
DE0 A oil,DE0 A,oil,842.58,2023
DE0 E oil,DE0 E,oil,278.09,2023
DE0 2 oil,DE0 2,oil,564.36,2022
DE0 9 oil,DE0 9,oil,281.43,2022
DE0 A oil,DE0 A,oil,842.58,2022
DE0 E oil,DE0 E,oil,278.09,2022
DE0 2 oil,DE0 2,oil,846.54,2021
DE0 9 oil,DE0 9,oil,562.86,2021
DE0 A oil,DE0 A,oil,842.58,2021
DE0 E oil,DE0 E,oil,556.18,2021
